uid,length,positive,negative,anger,disgust,fear,sadness,surprise,good,happy
5715140236,1280,178,62,0,51,0,127,11,5,49
5718628295,25,0,0,0,0,0,0,0,0,0
5720853062,93,0,0,0,0,0,0,0,0,0
5722247110,80,0,0,0,0,0,0,0,0,0
5724434041,188,0,0,0,0,0,0,0,0,0
5724544713,156,0,0,0,0,0,0,0,0,0
5730961277,700,0,0,0,0,0,0,0,0,0
5735054639,107,0,0,0,0,0,0,0,0,0
5735278162,5017,1143,360,5,258,21,731,79,7,405
5737151697,97,0,0,0,0,0,0,0,0,0
5737825978,6612,1375,618,40,333,30,1006,215,37,358
5739062185,1334,359,81,0,49,5,198,27,10,151
5744273167,22610,4208,1552,24,1048,81,2833,404,85,1297
5748054322,2243,444,18,0,18,0,438,0,0,6
5751039913,281,0,0,0,0,0,0,0,0,0
5760486384,96,0,0,0,0,0,0,0,0,0
5766343217,498,0,0,0,0,0,0,0,0,0
5776605570,18,0,0,0,0,0,0,0,0,0
5776833781,638,107,40,0,25,0,64,15,10,33
5781043933,236,0,0,0,0,0,0,0,0,0
5786409045,1267,0,0,0,0,0,0,0,0,0
5788576590,1173,237,98,14,67,3,175,14,5,57
5789351882,6519,1537,581,9,340,102,1153,155,5,379
5793051065,21,0,0,0,0,0,0,0,0,0
5794454655,2210,456,154,0,100,7,311,47,0,145
5797592516,60,0,0,0,0,0,0,0,0,0
5800578080,1961,305,166,5,132,8,218,21,5,85
5807286314,1355,195,82,0,76,0,145,9,3,48
5809996919,253,0,0,0,0,0,0,0,0,0
5816033896,273,73,3,0,3,0,55,0,0,18
5822270316,935,0,0,0,0,0,0,0,0,0
5825650396,3341,865,307,7,198,15,668,87,10,187
5826013759,73,0,0,0,0,0,0,0,0,0
5828694640,554,0,0,0,0,0,0,0,0,0
5831166086,2926,558,271,14,175,22,391,63,10,157
5831385057,2895,493,277,0,224,6,315,47,0,178
5832983798,95,0,0,0,0,0,0,0,0,0
5834213006,88,0,0,0,0,0,0,0,0,0
5835991286,114,0,0,0,0,0,0,0,0,0
5838334603,14,0,0,0,0,0,0,0,0,0
5838718789,3038,566,190,0,107,27,415,61,5,146
5839578825,1388,186,65,0,37,0,96,28,5,85
5842238758,2495,0,0,0,0,0,0,0,0,0
5847759628,410,0,0,0,0,0,0,0,0,0
5849072381,151,0,0,0,0,0,0,0,0,0
5851050640,209,0,0,0,0,0,0,0,0,0
5851283354,288,0,0,0,0,0,0,0,0,0
5851895479,1099,0,0,0,0,0,0,0,0,0
5852480486,2343,440,283,0,235,5,317,43,0,123
5854301398,160,0,0,0,0,0,0,0,0,0
5855624750,165,0,0,0,0,0,0,0,0,0
5855897777,143,0,0,0,0,0,0,0,0,0
5856292304,108,0,0,0,0,0,0,0,0,0
5859242666,273,0,0,0,0,0,0,0,0,0
5861884187,4200,824,599,8,404,48,507,147,28,289
5864126184,21,0,0,0,0,0,0,0,0,0
5868347821,6928,1381,908,23,672,60,1082,159,26,277
5868557481,110,0,0,0,0,0,0,0,0,0
5869621031,323,0,0,0,0,0,0,0,0,0
5871334354,211,0,0,0,0,0,0,0,0,0
5872519469,15,0,0,0,0,0,0,0,0,0
5873729396,378,0,0,0,0,0,0,0,0,0
5874414749,139,0,0,0,0,0,0,0,0,0
5879226052,98,0,0,0,0,0,0,0,0,0
5880168406,77,0,0,0,0,0,0,0,0,0
5880244243,881,0,0,0,0,0,0,0,0,0
5884798646,2647,869,203,8,147,1,532,47,10,330
5886011398,417,0,0,0,0,0,0,0,0,0
5888687126,1504,227,156,0,101,10,116,45,6,105
5888824938,621,0,0,0,0,0,0,0,0,0
5890749552,1891,400,268,17,144,10,257,97,12,136
5891003974,11336,2274,1091,5,743,76,1636,270,74,570
5891290179,449,0,0,0,0,0,0,0,0,0
5895153157,96,0,0,0,0,0,0,0,0,0
5898468030,22,0,0,0,0,0,0,0,0,0
5901099710,7503,1757,973,10,722,46,1224,210,10,531
5902585082,3347,364,214,7,136,22,169,54,9,189
5904318091,71,0,0,0,0,0,0,0,0,0
5905758416,3952,566,345,7,255,17,309,66,23,237
5906086478,803,206,75,0,50,0,145,25,5,59
5906721180,197,0,0,0,0,0,0,0,0,0
5912535645,15,0,0,0,0,0,0,0,0,0
5926462376,510,0,0,0,0,0,0,0,0,0
5933396854,105,0,0,0,0,0,0,0,0,0
5935375113,1305,124,156,0,115,16,45,25,14,65
5936447089,85,0,0,0,0,0,0,0,0,0
5936452078,26,0,0,0,0,0,0,0,0,0
5940303381,65,0,0,0,0,0,0,0,0,0
5941498609,33,0,0,0,0,0,0,0,0,0
5945234578,89,0,0,0,0,0,0,0,0,0
5945626658,15356,0,0,0,0,0,0,0,0,0
5948779257,1191,0,0,0,0,0,0,0,0,0
5951365006,286,0,0,0,0,0,0,0,0,0
5963305804,249,0,0,0,0,0,0,0,0,0
5963809026,1024,116,41,3,25,3,80,10,0,36
5970590745,768,0,0,0,0,0,0,0,0,0
5974858233,351,0,0,0,0,0,0,0,0,0
5975105447,89,0,0,0,0,0,0,0,0,0
5977150927,318,0,0,0,0,0,0,0,0,0
5979497352,112,0,0,0,0,0,0,0,0,0
